Left_x,Left_y,Right_x,Right_y,time(s),Encoder
0,0,0,0,0.0046482086181640625,0.5194698977887631
0,0,0,0,0.00700831413269043,0.5194698977887631
0,0,0,0,0.1135861873626709,0.5382017970502376
-0.3995455757108357,0.05574849894653261,-0.2668650315833747,-0.07429169160763828,0.21477222442626953,0.549119169062376
-0.3995455757108357,0.05574849894653261,-0.2668650315833747,-0.07429169160763828,0.31722378730773926,0.5450313031196594
-0.42886048265721327,0.056250775324583085,-0.2735361371274754,-0.0701842550474272,0.41136956214904785,0.5582963470578193
-0.42886048265721327,0.056250775324583085,-0.2735361371274754,-0.0701842550474272,0.511979341506958,0.5775864494383335
-0.45068177998206493,0.06860483084976329,-0.2725332887481274,-0.06214526190548811,0.6079144477844238,0.5904081928551197
-0.461310356666569,0.05956024001040505,-0.281127692077595,-0.07095927429677,0.708716869354248,0.5983376370847224
-0.461310356666569,0.05956024001040505,-0.281127692077595,-0.07095927429677,0.8068053722381592,0.5908514214634895
-0.4550663847173583,0.05008245699020565,-0.3315966303678546,-0.08782653229292499,0.9181113243103027,0.580623594480753
-0.3693253241313266,-0.00707351103678419,-0.4206360282995287,-0.18617491486737156,1.0104994773864746,0.5590022738695144
-0.3693253241313266,-0.00707351103678419,-0.4206360282995287,-0.18617491486737156,1.1104333400726318,0.5464431855082512
-0.3693253241313266,-0.00707351103678419,-0.4206360282995287,-0.18617491486737156,1.20908784866333,0.5583291537702084
-0.3693253241313266,-0.00707351103678419,-0.4206360282995287,-0.18617491486737156,1.312729835510254,0.5898500041186809
-0.3693253241313266,-0.00707351103678419,-0.4206360282995287,-0.18617491486737156,1.4068143367767334,0.6132443686068058
-0.3693253241313266,-0.00707351103678419,-0.4206360282995287,-0.18617491486737156,1.5096690654754639,0.6391177037835121
-0.3693253241313266,-0.00707351103678419,-0.4206360282995287,-0.18617491486737156,1.6070635318756104,0.6438458255827426
