Left_x,Left_y,Right_x,Right_y,time(s),Encoder
-0.29839076589043984,0.03703654176618287,-0.5011398449629236,-0.11243055857621716,0.00335693359375,0.310250360751152
-0.29839076589043984,0.03703654176618287,-0.5011398449629236,-0.11243055857621716,0.009589672088623047,0.310250360751152
-0.29839076589043984,0.03703654176618287,-0.5011398449629236,-0.11243055857621716,0.11101078987121582,0.3819110003679991
-0.331014790162773,0.04015846582836455,-0.520521595545021,-0.10642434423724971,0.21063446998596191,0.4117244634121656
-0.331014790162773,0.04015846582836455,-0.520521595545021,-0.10642434423724971,0.307720422744751,0.4157466583997011
-0.34546644148700634,0.04643085563181422,-0.5305156251256407,-0.09931495348418339,0.41033482551574707,0.41085435202121734
-0.36559937200653503,0.05793475002707486,-0.5170935795915355,-0.09698167351484413,0.5126378536224365,0.39276270861625673
-0.36559937200653503,0.05793475002707486,-0.5170935795915355,-0.09698167351484413,0.6065289974212646,0.36936834412813185
-0.3933601368214088,0.06555085337483717,-0.4942319900827088,-0.0939827867090202,0.710651159286499,0.3408354215621948
-0.41398661786119256,0.0665308327214542,-0.47016151045241783,-0.0917246727257792,0.8059980869293213,0.3276524878919125
-0.41398661786119256,0.0665308327214542,-0.47016151045241783,-0.0917246727257792,0.9135947227478027,0.31620976981222626
-0.4336670229385499,0.06728491262604812,-0.4511861846501699,-0.08378499817713798,1.1788363456726074,0.28710224077105523
-0.46578038662866794,0.04748947091352448,-0.37416569658073384,-0.08969424151166544,1.1815848350524902,0.28710224077105523
-0.46578038662866794,0.04748947091352448,-0.37416569658073384,-0.08969424151166544,1.2054624557495117,0.28710224077105523
-0.4743257393124385,0.05206911166962509,-0.32762636373852605,-0.07477338897930419,1.3062145709991455,0.2886618684262037
-0.4743257393124385,0.05206911166962509,-0.32762636373852605,-0.07477338897930419,1.4069299697875977,0.2970181738644838
-0.47858759370912424,0.055767233410474036,-0.32009445970533124,-0.07388799242947712,1.5054192543029785,0.2903035847753286
-0.47858759370912424,0.055767233410474036,-0.32009445970533124,-0.07388799242947712,1.613905668258667,0.2949332073330879
-0.470819678711368,0.05564280169682819,-0.30463080646814655,-0.07514650000271962,1.70570707321167,0.29471978392004966
-0.4850582877380734,0.036920250893032164,-0.3083204757762167,-0.07797688728408084,1.8138251304626465,0.3085429878294468
-0.4850582877380734,0.036920250893032164,-0.3083204757762167,-0.07797688728408084,1.9116880893707275,0.32458249298930164
-0.4776621182887538,0.049186159119787104,-0.33831949465942845,-0.08570393028879916,2.006375312805176,0.32990163900256153
-0.5143621306197945,0.04666558523680601,-0.3657743040021824,-0.08812543264601448,2.1098179817199707,0.2992344966888427
-0.5143621306197945,0.04666558523680601,-0.3657743040021824,-0.08812543264601448,2.206026077270508,0.29322583441138267
-0.5356664538497873,0.04597455463697563,-0.3934147152971061,-0.09160905832045504,2.3060860633850098,0.27564311214387416
-0.5356664538497873,0.04597455463697563,-0.3934147152971061,-0.09160905832045504,2.405637502670288,0.23601223322600123
